No.,Name,Age,Birth Date YYYY/MM/DD,Race,Gender,Fmr. Department,Department,Rank,Pol. Skills,Political Affliation,PolAffDetail,Racist?,Belief,Personality / Politics,Backstory,Pic,Notes,Index,Unique,X,Y,Z
27,Peregerinate Dulia,34,1081/03/12,Earth Pony,Female,Off. Law. Enf.,Off. Stat. Anal.,Local Commissioner,,Modernist,Independentists,Very,Diarchist-Leaning,"A paranoid, adn tired mare. Peregerinate is a jaded mare, with no more trust in ponies but of the orange colours.",,,,"2,1,1",Unique,2,1,1
28,Philippic List,42,1073/05/01,Earth Pony,Male,Off. Jus,Off. Cri. Mit.,Local Commissioner,,Radical,Deestablishmentarianist with Nationalist Charateristics,Slightly,Discordant,"A jaded older stallion, hurt by the betrayals and damages of the battle, who seeks to ensure that the other Vigilants do not fall to the trap that is beliving the other Orders' lies",,,,"0,2,1",Unique,0,2,1
29,Poster Cloth Fez,39,1076/03/20,Earth Pony,Male,Off. Pol. Ana. Res.,Off. Pol. Ana. Res.,Regional Commissioner,,Modernist,Telegrammists,No,Discordant,Me when my autistic fixation is telegrams,,,,"-2,1,1",Unique,-2,1,1
30,Preventative Eye,38,1077/12/10,Earth Pony,Female,Off. Int. Dis.,Off. Int. Dis.,Permanent Secretary,,Modernist,Securocracy,Mildly,Diarchist,"The State is under attack, and for Eye, there is no choice but to send the state into a State of Emergency to root out its enemy. Not by fate by but politics. ",,,,"1,1,1",Unique,1,1,1
31,Public Eye,29,1086/06/12,Pegasus,Male,Off. Jus,Dep. Inf. Sec.,Lieutanent,,Radical,Revolutionary Purism,Gamer,Schizophrenic,"There is only one sense, that the Mystics and other Orders survived so well... it is a conspiracy to destroy the last TRUE order of the Diarchy. And Eye shall be the leader to save it",,,,"2,2,-1",Unique,2,2,-1
32,Quango Sacarlize,34,1081/05/30,Earth Pony,Female,Off. Law. Enf.,Off. Int. Ord. Out. Coo,Captain,,Liberal,Purist Liberalism,Slightly,Discordant-Leaning,"What is Faith? But Trust? What is Trust but the foundation of modern society? Without it, ponies can build systems... and it must be restored. As Quango moves forward in a world hostile to love",,,,"-2,1,-1",Unique,-2,1,-1
33,Quill Libertas,56,1059/10/31,Pegasus,Female,Off. Vig. Adm. Mat.,Off. Stat. Anal.,Inspectorate-Commisar,,Liberal,Localism - Devolutionalist,Slightly,Diarchist-Leaning,"Quill knows best, for she knows her realm well. She knows that others know their relams, and they should have the freedom to govern as they know.",,,,"-2,2,1",Unique,-2,2,1
34,Recalcitrant Kenosis,34,1081/12/21,Earth Pony,Female,Off. Law. Enf.,Off. Law. Enf.,Captain,,Radical,Warhawks,Very,Diarchist,"Recalcitrant is an angry mare, after seeing the oppurturnity opened, she hates that the Orders are willing to take the bait the Saints have crafted for them.",,,,"1,2,0",Unique,1,2,0
35,Side Dice,46,1069/10/11,Earth Pony,Female,Off. Vig. Adm. Mat.,Off. Vig. Adm. Mat.,Provincial Legislator,,Modernist,Instituionalized Politics,Slightly,Diarchist,"Side Dice likes simple things, but the job desc the Vigilants is  anything but. And for her, if she could pick up an eraser to shorten it, she would",,,,"-1,2,0",Unique,-1,2,0
36,Solitary Piety,34,1081/02/20,Earth Pony,Female,Off. Int. Ord. Out. Coo,Off. Int. Ord. Out. Coo,Director,,Purist,Old Guardism,Mildly,Diarchist,"For Solitary, everypony is wrong, except her. She is the true heir of Proud Stone, and everypony else are madponies",,,Ivan Illyin looking ass,"0,0,0",Unique,0,0,0
37,Soteria Solace,33,1082/11/11,Earth Pony,Male,Off. Stat. Anal.,Off. Pol. Ana. Res.,Captain,,Modernist,Ataturkism,Slightly,Discordant-Leaning,"A caculating, calm stallion with a strong interal logic compass. Doing to shape the world accoridng to his ideals",,,,"-1,0,1",Unique,-1,0,1
38,Theophany Demarcher,43,1072/10/15,Earth Pony,Female,Off. Stat. Anal.,Off. Stat. Anal.,Captain,,Radical,Suspicionarians,Very,Diarchist,"Theophany is sacred, ever since the Battle, the mare has grown withdrawn and only ever seen in the company of other Radicals. Paranoia is the name of the game",,,Oh God its CARL SCHMIT RUN,"1,2,2",Unique,1,2,2
39,Zazen Exegete,31,1084/07/12,Earth Pony,Male,Off. Inv. Dev,Off. Inv. Dev,Local Commissioner,,Radical,Anti-Populist Radicals,Mildly,Diarchist-Leaning,"Zazen meanwhile, has come to loathe the ideologies of the foreigners. Their  liberal ideals do not fit with the vanguardist Vigilants.  And to protect the country, populism must be destroyed",,,,"0,2,0",Unique,0,2,0
40,Aggadah Quotidian,43,1072/10/10,Earth Pony,Female,Off. Stat. Anal.,Off Pub. Out. Inf.,Policy Advisor,,Liberal,Education Reform,Mildly,Diarchist-Leaning,"A lovely old lady, who believes that the new generation of the Vigilants, will be the ones to properly save their reputation, and restore Harmony to it",,,,"0,-2,-2",Unique,0,-2,-2
41,Apotropaic Ineffable,32,1083/05/10,Earth Pony,Female,Dep. Spe. Acc,Off. Law. Enf.,Lieutanent,,Radical,Anti-Mystic Radicalism - God I fucking Hate Fascists,Mildly,Discordant,An angry farmer with a vengeance against the higher ups. With goals of restoring peace and prosperity to their country,,,,"1,2,1",Unique,1,2,1
42,Banausic Pen,36,1079/03/10,Earth Pony,Male,Off. Inv. Dev,Off. Pro. Adm. Mat.,Director,,Purist,Kraterocracy,Gamer,Diarchist,"A polite, scientific stallion that believes that the Vigilants need to militarise in order to fully carry out their role as Law Protectors",,,,"2,2,-2",Unique,2,2,-2
43,Bark Rim,43,1072/06/20,Earth Pony,Male,Off. Int. Dis.,Off. Int. Dis.,Inspectorate-Commisar,,Purist,Counterreformation but with more Faith,Mildly,Diarchist,"A rough, but honourable stallion who believes in religious vindication through actions, and not just beliefs.",,,,"0,0,-1",Unique,0,0,-1
44,Brevetocratic Books,39,1076/12/15,Earth Pony,Female,Off. Int. Dis.,Off. Int. Dis.,Local Commissioner,,Radical,Vigilant Exceptionalism,Very,Diarchist,A Crude mare that believes that everypony has been stringing the Vigilants along for their pointless reasons. And seeks to decouple the Vigilants from all other Orders,,,,"2,-1,-2",Unique,2,-1,-2
45,Bureaugamtic Ossification,35,1080/10/23,Earth Pony,Female,Off Pub. Out. Inf.,Off Pub. Out. Inf.,Departmental Legislator,,Liberal,"Counterreformation but like, Swiss",Slightly,Schizophrenic,A delightful young lady who believes that all can believe in the Saints as long as their actions are true and honourable,,,,"-2,0,-2",Unique,-2,0,-2
46,Calf Thaumaturgy,34,1081/03/31,Earth Pony,Female,Off. Pol. Ana. Res.,Off Pub. Out. Inf.,Local Commissioner,,Purist,Calvinism,Slightly,Discordant,"Calf is a nice enjoyable mare to get along with, who believes that the only proper authority is the Book of the Saints, and we should all return to it",,,,"0,-1,-2",Unique,0,-1,-2
47,Classifier Insulid,41,1074/06/06,Earth Pony,Female,Off. Vig. Adm. Mat.,Off. Pol. Ana. Res.,Captain,,Purist,Reconilitory Purism,Slightly,Discordant,"A forgiving and charitable mare, Classifier's own heart hurts at the sight of the Equestria, split between the Orders with distrust between them",,,,"0,-1,-1",Unique,0,-1,-1
48,Colloquial Prattle,32,1083/01/01,Earth Pony,Female,Off. Pro. Adm. Mat.,Off. Vig. Adm. Mat.,Regional Commissioner,,Modernist,Equalist Modernism,Slightly,Discordant-Leaning,"A no nonsense mare with a single belief - the law is superior to all, and all are equal before it",,,,"-1,1,0",Unique,-1,1,0
49,Confarreation Brevet,36,1079/02/23,Earth Pony,Female,Dep. Fin Cri.,Dep. Fin Cri.,Captain,,Liberal,Slitism - VIgilants should have familiy,Slightly,Discordant,"A sultry, cheeky mare whose heart hurts everytime a Vigilant dies alone with love. And she seeks to fix such issues",,,x,"-2,0,0",Unique,-2,0,0
50,Cylinder Disposition,36,1079/09/01,Pegasus,Male,Off. Int. Ord. Out. Coo,Off. Cri. Mit.,Policy Advisor,,Radical,Revolutionary Modernism,Gamer,Schizophrenic,"A genuninely terrifying, stallion. Cylinder believes that only through bloodshed can the Vigilants - and thus the Diarchy be saved. Through violence the state shall be saved",,,x,"2,2,2",Unique,2,2,2
51,Puliminary Martegu,27,1088/7/9,Earth Pony,Female,Dep. New. Sec.,Off. Pol. Ana. Res.,Newspaper Security Manager,,Purist,Developmentalist Religiousim with Socialist Characteristics,Mildly,Diarchist,"The businesslike Puliminary is quite a good natured mare, but one might feel she's a tad desperate and near egocentric as she purses her duty of developing the Diarchy",,,,"1,0,-1",Unique,1,0,-1
52,Tiled Ceiling,36,1079/07/13,Earth Pony,Female,Dep. Inf. Sec.,Off. Pol. Ana. Res.,Information Security Officr,,Modernist,Traditionalist Anti-Landlord Libertarian,Slightly,Diarchist-Leaning,"One would describe Tiled Shrew, of course it makes sense, being one who has been battling Nobles for years, this shrewd and observant mare has gone to try and bring her ideals about. Her unpredictability does not do her favours",,,,"-1,2,1",Unique,-1,2,1
53,Franc Edelweiss,37,1078/08/24,Pegasus,Male,Dep. Cen. Org.,Off. Pol. Ana. Res.,Personnel Consuler,,Purist,Developmentalist Fascism,Mildly,Diarchist,"France is an educated and insightful, spotting the link between the commoners and the nobles, needing to be covered. He is crisp with the matter, and certainly not moral. ",,,,"0,2,-2",Unique,0,2,-2
54,Incidinary Electricity,25,1090/01/22,Earth Pony,Male,Dep. Exp. For.,Off. Pol. Ana. Res.,Experimental Researcher,,Modernist,Conspiracy Vigilant Socialist,Gamer,Schizophrenic,"Incidinary's a daring stallion, yet, all the while perfectly predictable in ths schizophrenic wrecking him. He is ultimately an madstallion, one that fits what is needed for science",,,Estoeric Socialims basically means 'Socialism is the lluminanti',"2,-2,2",Unique,2,-2,2
55,Synthenite Pool,38,1077/08/04,Earth Pony,Male,Off. Con. Arc. Mat.,Off. Pol. Ana. Res.,Red Cabinet Director,,Liberal,Paleolibertarian,Slightly,Discordant-Leaning,"A kind and skillful stallion, some might even say felicifc, Synthenite is a driven individual who's work in the Red Cabinets... have only made him dillusioned with the systems that be",,,,"-1,1,2",Unique,-1,1,2
56,Winway Soulful,49,1066/07/01,Earth Pony,Female,Dep. Nar. Cri,Off. Pol. Ana. Res.,Narcotics Perevention Specialist,,Liberal,Soulism,Slightly,Diarchist-Leaning,"An emotional and religious mare, Winway mourns the state of the Diarchy and the quiet crisis among the downtrodden. Trying to help out, even if she sucks at speeches ",,,,"0,1,0",Unique,0,1,0
57,Bush Table,47,1068/06/04,Pegasus,Female,Dep. Spe. Acc,Off. Pol. Ana. Res.,Special Agent,,Modernist,Shadow Government,Very,Diarchist,"A strong and reliable mare, Bush Table has been known for being narrow minded, placific, and busy at the same time. From the Deptartment of Special Accounting, painted her perception of public politics, beliving that no matter the shape of the state, power comes from the backrooms",,,,"2,-1,2",Unique,2,-1,2
58,Banana Calcium,48,1067/10/22,Pegasus,Female,Dep. Fin Cri.,Off. Pol. Ana. Res.,Fraud Prevention Specialist,,Liberal,Paleoconservative Confederalism,Slightly,Discordant-Leaning,"For the creative and colourful Calcium, the lack of local political participation is an issue that had to be tackled. Where many ponies worked together, corruption was significantly less possible.And Govenment, must face that. If only Calcium had a better backbone",,,,"-1,-2,2",Unique,-1,-2,2
59,Visual Column,43,1072/01/07,Pegasus,Male,Dep. Vig. Img.,Off. Pol. Ana. Res.,Imaging Specialist,,Radical,Revisionist Vigilantism,Very,Diarchist,"The delicate instrunment imaging should not be left ot a Ambitious and Blunt stlalion like Column, whose anger has seeped and be fed by his logical thought. A proponent of unifiying a more stronger Vigilant identity, he opposes deviation from the Orders as hard as he could",,,,"2,0,2",Unique,2,0,2
60,Anagram Purple,34,1081/10/25,Pegasus,Female,Dep. Spe. Acc,Off. Pol. Ana. Res.,Special Agent,,Modernist,Furutist Bureacuratism,Mildly,Diarchist-Leaning,"Anagram's quite a frugal and helpful pony, even if she's quit efickle at times. Considering her position as a Special Agent of Special Accounting. She believes the future requires adoption of new technologies. IN combination with bureaucracy and serving the ponies. The Vigilants can be saved",,,x,"0,-2,2",Unique,0,-2,2
61,Potted Tables,52,1063/01/27,Pegasus,Male,Dep. Law Coop,Off. Pol. Ana. Res.,Law Enforcement Data Anakyst,,Radical,Agraranism Militantism,Very,Diarchist,"A neat, leardly, arbitary and authortarian pony, Potted seeks to fix the stories, to free them from the corrupt interperters who have brought them to ruin. Fascism has ruined the hopes of the working ponies, and they must be excised from the state",,,,"2,1,-2",Unique,2,1,-2
62,Determinist Angle,42,1073/08/18,Pegasus,Male,Dep. Jud. Coop.,Off. Pol. Ana. Res.,Judicial Liasion,,Liberal,Decentralised Egalitarianist,Slightly,Discordant,"For Angle, after observing such high cases of abuses of power, the pon has dedicated himself to trying his best in helping the unfortunate. Empathetic and Humours, the only criticisms ponies can leverage against him is how boring he is, and the fact that he wears stockings",,,x,"-2,-1,-2",Unique,-2,-1,-2
63,Snazzy Maths,25,1090/08/10,Earth Pony,Male,Bur. Mys. Coop.,Off. Pol. Ana. Res.,Mystic Liasion,,Purist,Diarchist Centralist,Mildly,Diarchist,"For Snazzy, he sees that the balancing of power between the Orders as useless and dangerous. Somepony has to take the lead in their system, if not they are to be thrown into ash. His anger brought his wiseness to the podium, as he seeks to bring about power to the righteous one",,,,"1,1,-1",Unique,1,1,-1
64,Rose Litany,41,1074/08/25,Earth Pony,Female,Dep. Cen. Org.,Off. Pol. Ana. Res.,Law Enforcement Data Anakyst,,Modernist,Agrarian Socialist with Vanguadist characteristics,Slightly,Diarchist-Leaning,"For the quiet Rose, pen and paper were her match as she wrote in support of Inquisitive's efforts. The theorist behind her, she serves as the amusingly dreamy and utopian mare of the socialist cause. ",,,,"-1,-2,1",Unique,-1,-2,1
65,Melodic Wonder,50,1065/05/07,Earth Pony,Male,Dep. Jud. Coop.,Off. Pol. Ana. Res.,Judicial Law Harmonizer,,Purist,Paternalist,Slightly,Diarchist,"A practical, yet unpolished and irrational basketcase of old work, Melodic is a staunt supporter of steadying the speed of the Vigilant Reforms. Arguing for the various Vigilant leaders to rally together to work and protect their Order",,,,"-1,-2,-2",Unique,-1,-2,-2
66,Exploitative Wonder,29,1086/10/12,Earth Pony,Male,Dep. Cen. Org.,Off. Pol. Ana. Res.,Personnel Consuler,,Purist,State Capitalist,No,Diarchist,"A though, logical, yet insincrere and grim stallion. Exploitative, nephew of Melodic, believes that for the future, oh the future, the Vigilants need to take full advantage of their position as the legal head of the state - by embracing state capitalism",,,,"-2,1,0",Unique,-2,1,0
67,Vicar Cascade,31,1084/04/12,Earth Pony,Male,Dep. Int. Coord.,Off. Pol. Ana. Res.,Interprovince Coordination Policymaker,,Liberal,Bioregionalist,Mildly,Diarchist,"Ascetic and stern, Vicar believes in nurture over nature. After all, seeds do not grow in deserts but fertile soil. And so do the virtues seen in ponies. A rather principled Vicar, he believes that in order to streghten the Vigilants ethically, an ethical environment must be strived for",,,,"1,-1,2",Unique,1,-1,2
68,Chaste Pop,30,1085/09/25,Pegasus,Male,Dep. Int. Fin.,Off. Pol. Ana. Res.,Interprovince Finance Officer,,Radical,Agrarian Disestablisharianism,Very,Diarchist-Leaning,"For a rather sensual and active Chaste Pop, the sheer insanity of Chaste's thought provides a rather amazing juxtaposition. The stallion advocates for transparency, as he sees a conspiracy aimed from within that sought to destroy the Vigilants... and it has to be removed",,,x,"2,-1,-1",Unique,2,-1,-1
69,Deed Carpet,58,1057/11/01,Earth Pony,Male,Bur. Mys. Coop.,Off. Pol. Ana. Res.,Mystic Case Aggregator,,Radical,Esoteric Saint Worship,Gamer,Schizophrenic,"A pure, but imprudent and distractble Deed Carpet holds a good amount of power simply as one of the Vigilants who had managed to save a portion of the Bureaucracy. Deed however, sees that the Mystics have been defiling the Saints for so long... and that the Vigilants must do something about it",,,x,"2,2,0",Unique,2,2,0
70,Shawl Sin,46,1069/06/10,Earth Pony,Male,Dep. Fin Cri.,Off. Pol. Ana. Res.,Risk Manager,,Liberal,Diarchist National Constructivist,Mildly,Diarchist,"For the shy and dry Shawl Sin, colonialism had always been an outlying and idiotic choice of policy. His gullibility meant he bought it at first, but after seeing it blow up, Shawl has been advocating for a simple plan of internal development rather than interfereing with the idiots overseas",,,,"0,-1,1",Unique,0,-1,1
71,Binder Bottle,45,1070/09/14,Pegasus,Male,Off. Kni. Int.,Off. Pol. Ana. Res.,Director,,Liberal,Multicultural Reconstructivist,Slightly,Discordant,"A honest, conservative, and decisive politician. Binder is also a deceitful and cautious Vigilant. With the chaos up in the air, Binder has spotted an oppurturnity to push his agenda, and throwing his foot behind Offset, Binder's going to push for it.",,,x,"-1,-1,1",Unique,-1,-1,1
72,Box Stair,41,1074/08/03,Earth Pony,Male,Dep. Mot. For.,Off. Pol. Ana. Res.,Law Enforcement Data Anakyst,,Modernist,Isolationist,Very,Diarchist-Leaning,"Describe Box Stair, and you would know that he is a humorous and incorruptible, though a bit kelptomanic and forceful. And for him, Box Stair seeks out an end to dealing with the foreigners outside so that the internal state can secularise.  ",,,x,"2,-1,1",Unique,2,-1,1
73,Whiskey Cheese,34,1081/01/10,Pegasus,Female,Bur. Enf. Coop.,Off. Pol. Ana. Res.,Inter-order Interaction Analyst,,Liberal,Guided Liberalism via Incentives,Slightly,Diarchist,"Whiskey only ended up working in the Bureau because of her Observant, Steadfast, Brutal, and Conceitedness. She has seen what happened between the various orders, and the oaths are disincentives, there are not enough incentives to guide the way ponies THINK",,,,"-1,-2,-1",Unique,-1,-2,-1
74,Lampoon Puppet,35,1080/05/18,Pegasus,Male,Dep. Inf. Sec.,Off. Pol. Ana. Res.,Information Security Officr,,Radical,Exhaustion Induced Color Revolution Conspiracy Theorist,No,Schizophrenic,"Lampoon is a deep, steadfast and incorruptible pony. But it is a sad thing that has grown discontented and stiff over the years as a Department of iNFORMATIOIN Security Officer. Growing insane and convinced of a foreign plot which conspired with the former Vigilant Grandmaster and the Mystics to destroy their nation",,,Just watch this video this conspiracy is wild: https://www.youtube.com/watch?v=7OFyn_KSy80&list=PLcfqP0PtWDcGKIHGTTbVlpTyUZNL8gjnH&index=4,"-2,2,-2",Unique,-2,2,-2
75,Wabbit Desk,34,1081/02/13,Pegasus,Male,Off. Kni. Int.,Off. Pol. Ana. Res.,Knight Integration Fiscal Manager,,Purist,Shock Therapy Accelerationism,Slightly,Diarchist,"As a decisive, and earth bound pegasus. Wabbit is an extravangent pony, and like that his ideology is as well as extravagent - Shock Therapy Accelerationism. The people after all, have lost their faith. And their faith can be regained if they are allowed to work for themselves... and once they fail, they'll trust the Oranges again!",,,,"-1,-1,-2",Unique,-1,-1,-2
76,Ziggurat Sickle,51,1064/03/05,Pegasus,Female,Bur. Mys. Coop.,Off. Pol. Ana. Res.,Mystic Case Aggregator,,Purist,Social Parentalism,Slightly,Diarchist,"A contemplative and genuine mare, Ziggurat has seized the historical era of political reform and social assistance. That was the era, and she is going to seize it and ensure that the state properly served its people",,,,"-1,-1,-1",Unique,-1,-1,-1
